,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
340,realme,9199,64,256,16,6,5000,4.5,,1,15,2,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Siyah
341,INFINIX,4385,10,128,4,6,5000,4.5,,1,5,3,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,4500,Siyah
342,POCO,27798,64,512,12,6,5160,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Beyaz
343,Apple,40598,12,256,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Siyah
344,Apple,36900,10,128,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Mavi
345,INFINIX,8179,20,256,8,6,5000,4.5,,1,15,3,6,Android,Var,2,USB Type-C,15,Yok,3.5 mm,5000,Siyah
346,Samsung,12499,48,256,8,6,5000,4,,1,10,3,6,Android,Yok,2,USB Type-C,10,Var,USB Type-C,5000,Yeşil
347,Xiaomi,5899,20,128,4,6,3000 - 7900,4.5,,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Gri
348,Apple,48198,12,256,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Beyaz
349,Samsung,28897,50,128,8,6,3900,5,Galaxy S23,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,5000,Siyah
350,Tecno,3949,5,64,4,4,1500  altı,4.5,,1,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,5000,Siyah
351,Samsung,13393,64,128,8,6,5000,5,Galaxy A53,1,20,4,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Beyaz
352,Samsung,8369,5,128,4,4,1500  altı,4.5,,1,5,3,5,Android,Yok,2,USB Type-C,5,Var,Lightning,5000,Mavi
353,General Mobile,5994,5,128,4,4,1500  altı,4.5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,5000,Siyah
354,Oppo,5700,5,64,4,4,1500  altı,4.5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,4500,Çok Renkli
355,Xiaomi,8178,20,128,8,6,1500  altı,4.5,Redmi Note 10S,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Beyaz
356,Apple,59750,5,256,8,6,4000 - 5000,5,iPhone 13 Pro,1,5,3,6,iOS,Yok,2,Lightning,5,Var,Lightning,4000,Gümüş
357,realme,3338,5,32,2,4,4000 - 5000,4.5,,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Gri
